adult,backdrop_path,belongs_to_collection,budget,genres,homepage,id,imdb_id,original_language,original_title,overview,popularity,poster_path,production_companies,production_countries,release_date,revenue,runtime,spoken_languages,status,tagline,title,video,vote_average,vote_count
False,/3Mg4XlGLGqcq9IwMfLt1oXFkFE2.jpg,,2474,"Drama , Thriller",https://bluecocoonpublicis.wixsite.com/website,697046,,en,Blue Cocoon,"Blue Cocoon follows the story of Cynthia, a woman who  lives alone, isolated from the outside world. Her day-to-day  routine involves listening to an old grammar phone and the  catching and killing of butterflies in vicious traps that hang  from her window. One day, this routine is disrupted as a curious  young girl enters her garden unexpectedly. Cynthia  is besotted by the girls’ grace, youth and beauty and in her  deranged, intoxicated state, decides to kidnap her using the  chloroform that she uses on her butterflies, and on herself  recreationally.",1.96,/nYqjXZgHjGzkb4BwjloAGPhVle5.jpg,,United Kingdom,2020-04-28,0,10,English,Released,When does passion turn into obsession?,Blue Cocoon,False,10.0,1
False,/l1YPxXk4rQNxifaW6xWlVDnnOYT.jpg,,150,Drama,,812911,,en,Cocoon,"A medium leads a lost soul to the after life. However, she doesn't seem to know that she's dead...",0.6,/t8aptpgcRQnCgBx12qXQ08NWqcx.jpg,,,2021-03-29,0,7,English,Released,Spread Your Wings,Cocoon,False,9.0,1
False,,,15000,,,314841,tt2017532,en,Immersive Cocoon,"Keir Dullea encounters a mysterious object, in a scenario reminiscent of the penultimate scene from Stanley Kubrick's 2001: A Space Odyssey that he appeared in over forty years ago.",0.6,,,United States of America,2011-03-23,0,2,No Language,Released,,Immersive Cocoon,False,5.5,2
False,/8fAXEcTr8AlHsZl6kXKMBXKeqs0.jpg,,3000000,"Drama , Romance",,11257,tt0091867,en,A Room with a View,"When Lucy Honeychurch and chaperon Charlotte Bartlett find themselves in Florence with rooms without views, fellow guests Mr Emerson and son George step in to remedy the situation. Meeting the Emersons could change Lucy's life forever but, once back in England, how will her experiences in Tuscany affect her marriage plans?",15.833,/5xRAqywVo6tNUNQbAESGVP930la.jpg,"Goldcrest , National Film Finance Corporation (NFFC) , Curzon Film Distributors",United Kingdom,1985-12-13,20966644,117,"English , Italiano",Released,,A Room with a View,False,7.024,597
False,/odJ4hx6g6vBt4lBWKFD1tI8WS4x.jpg,Top Gun Collection,170000000,"Action , Drama",https://www.topgunmovie.com,361743,tt1745960,en,Top Gun: Maverick,"After more than thirty years of service as one of the Navy’s top aviators, and dodging the advancement in rank that would ground him, Pete “Maverick” Mitchell finds himself training a detachment of TOP GUN graduates for a specialized mission the likes of which no living pilot has ever seen.",956.047,/62HCnUTziyWcpDaBO2i1DX17ljH.jpg,"Paramount , Don Simpson/Jerry Bruckheimer Films , Skydance Media",United States of America,2022-05-24,1482656000,131,English,Released,Feel the need... The need for speed.,Top Gun: Maverick,False,8.3,4510
False,/jILeJ60zPpIjjJHGSmIeY4eO30t.jpg,Top Gun Collection,15000000,"Action , Drama",https://www.paramountpictures.com/movies/top-gun,744,tt0092099,en,Top Gun,"For Lieutenant Pete 'Maverick' Mitchell and his friend and co-pilot Nick 'Goose' Bradshaw, being accepted into an elite training school for fighter pilots is a dream come true. But a tragedy, as well as personal demons, will threaten Pete's dreams of becoming an ace pilot.",109.827,/xUuHj3CgmZQ9P2cMaqQs4J0d4Zc.jpg,"Paramount , Don Simpson/Jerry Bruckheimer Films",United States of America,1986-05-16,356830601,110,English,Released,Up there with the best of the best.,Top Gun,False,7.023,6639
False,/eHnS4WjgtoPAPtIXFq2jio4Sh36.jpg,,10000000,"Action , Drama , Romance",,124294,tt2253742,ko,R2B: 리턴 투 베이스,Tae-hun causes trouble for the his unit with his antics. He does not take much seriously until a dogfight leaves a pilot dead and another missing. Tae-hun and the other members of his unit launch a rescue mission to prevent a war from breaking out.,11.279,/3Q3PDsxnvh5I3XqgTnAnwdB7uRv.jpg,CJ Entertainment,South Korea,2012-08-14,0,113,한국어/조선말,Released,Take the battle to the skies.,R2B: Return to Base,False,6.182,74
False,/vB5hoogPuLO5Hpbb63c8yFB7WPf.jpg,,6000000,"Drama , Crime , Mystery , Thriller",,793,tt0090756,en,Blue Velvet,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of criminals who have kidnapped her child.",17.4,/7hlgzJXLgyECS1mk3LSN3E72l5N.jpg,DEG,United States of America,1986-01-01,8618766,120,English,Released,It’s a strange world.,Blue Velvet,False,7.641,2677
False,/6JmCY1oDzZcxHaL0vTnNGQ8nG5c.jpg,Children of the Corn Collection,900000,Horror,,25748,tt0106557,en,Children of the Corn II: The Final Sacrifice,"Arriving in Gatlin, Nebraska, a news-reporter and his son get wind of a story about the youth in the town murdering their parents finds that a series of brutal murders are revealed to be worshipers of the corn-stalks and try to stop them before they carry out their plans.",23.833,/5UaH4zhfKT1taJGHUwPxm29ZENf.jpg,"Corn Cobb Productions , Dimension Films , Fifth Avenue Entertainment",United States of America,1992-01-29,6980986,92,English,Released,These children are home alone too. But their parents are never coming back.,Children of the Corn II: The Final Sacrifice,False,4.751,175
False,/kg9RaTVoyARhYRrjqYN9LPrMPvm.jpg,,1500,"Horror , Adventure , Fantasy",,31129,tt0131550,en,The Final Sacrifice,"Fleeing from the cult that murdered his father, a teen is aided in his quest to find the lost city of the fabled Ziox by a secretive drifter.",2.785,/t0ZOrVBuMMZekWeiLgbGSM4eLW1.jpg,Flying Dutchman Productions Ltd.,Canada,1990-01-01,0,78,English,Released,"On this mission, no sacrifice is too great!",The Final Sacrifice,False,2.464,28
False,/zmVq7y63z8NewluK7MUBfTxuyvD.jpg,,6000000,Comedy,http://www.paramount.com/movies/ferris-buellers-day,9377,tt0091042,en,Ferris Bueller's Day Off,"After high school slacker Ferris Bueller successfully fakes an illness in order to skip school for the day, he goes on a series of adventures throughout Chicago with his girlfriend Sloane and best friend Cameron, all the while trying to outwit his wily school principal and fed-up sister.",21.516,/p07qwOft8y4iFVPLnXLN5WGsHuJ.jpg,Paramount,United States of America,1986-06-11,70136369,103,English,Released,One man's struggle to take it easy.,Ferris Bueller's Day Off,False,7.639,4083
